Id,Label,timeset,name,institute,department,year,title,reference,componentnumber
20511,杜军保,,杜军保,PEKING UNIVERSITY,医学科学部,2004,JQ,7.80710329,
20510,杜勇,,杜勇,CENTRAL SOUTH UNIVERSITY,工程与材料科学部,2004,JQ,8.366602833,
20509,方忠,,方忠,CHINESE ACADEMY OF SCIENCES,数理科学部,2004,JQ,9.725795264,
20508,高煜,,高煜,CHINESE ACADEMY OF SCIENCES,数理科学部,2004,JQ,8.841448244,
20507,郭国聪,,郭国聪,CHINESE ACADEMY OF SCIENCES,科技创新领军人才,2017,JQ,8.015987811,
20506,韩骅,,韩骅,FOURTH MILITARY MEDICAL UNIVERSITY,生命科学部,2004,JQ,7.891330758,
20505,何金良,,何金良,TSINGHUA UNIVERSITY,工程与材料科学部,2004,JQ,8.595264727,
20504,黄承志,,黄承志,SOUTHWEST UNIVERSITY,化学科学部,2004,JQ,5.991464547,
20503,黄建滨,,黄建滨,PEKING UNIVERSITY,化学科学部,2004,JQ,7.647786045,
20502,姬扬,,姬扬,CHINESE ACADEMY OF SCIENCES,数理科学部,2004,JQ,7.734121303,
20501,江云宝,,江云宝,XIAMEN UNIVERSITY,化学科学部,2004,JQ,8.609407675,
20500,蒋建中,,蒋建中,ZHEJIANG UNIVERSITY,工程与材料科学部,2004,JQ,7.897668151,
20499,蒋最敏,,蒋最敏,FUDAN UNIVERSITY,信息科学部,2004,JQ,6.91671502,23
20498,焦新安,,焦新安,YANGZHOU UNIVERSITY,生命科学部,2004,JQ,6.845879875,
20497,金山,,金山,CHINESE ACADEMY OF SCIENCES,数理科学部,2004,JQ,7.754481547,
20496,李永丹,,李永丹,TIANJIN UNIVERSITY,化学科学部,2004,JQ,8.314342343,
20495,李召良,,李召良,CHINESE ACADEMY OF SCIENCES,地球科学部,2004,JQ,8.027802848,
20494,刘昌胜,,刘昌胜,EAST CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY,技术科学部,2017,JQ,8.943244933,
20493,刘炯天,,刘炯天,CHINA UNIVERSITY OF MINING AND TECHNOLOGY,工程与材料科学部,2004,JQ,6.712956201,
20492,刘世勇,,刘世勇,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,科技创新领军人才,2016,JQ,9.468928284,
20491,刘兴军,,刘兴军,XIAMEN UNIVERSITY,工程与材料科学部,2004,JQ,6.610696045,
20490,刘玉鑫,,刘玉鑫,PEKING UNIVERSITY,教学名师领军人才,2017,JQ,4.691347882,0
20489,卢灿忠,,卢灿忠,CHINESE ACADEMY OF SCIENCES,化学科学部,2004,JQ,8.061802275,
20488,邱志平,,邱志平,BEIHANG UNIVERSITY,数理科学部,2004,JQ,6.725033642,
20487,沈洪兵,,沈洪兵,NANJING MEDICAL UNIVERSITY,百千万工程领军人才,2016,JQ,9.360310899,
