Source,Target,Type,Id,Label,timeset,Weight,value
11156,21083,Undirected,16582,,,1,1
10063,10496,Undirected,16583,,,6,6
10538,30396,Undirected,16584,,,1,1
21202,21601,Undirected,16585,,,3,3
10334,20006,Undirected,16586,,,1,1
20437,20938,Undirected,16587,,,1,1
40034,60055,Undirected,16588,,,2,2
10402,21091,Undirected,16589,,,19,19
11067,20617,Undirected,16590,,,437,437
11015,21371,Undirected,16591,,,1,1
20396,20678,Undirected,16592,,,1,1
20005,21228,Undirected,16593,,,1,1
11152,20032,Undirected,16594,,,2,2
21163,21700,Undirected,16595,,,9,9
10563,40162,Undirected,16596,,,1,1
11327,20508,Undirected,16597,,,1,1
21141,40085,Undirected,16598,,,120,120
20448,40180,Undirected,16599,,,2,2
20551,40031,Undirected,16600,,,1,1
30093,40164,Undirected,16601,,,1,1
10067,10392,Undirected,16602,,,1,1
21079,40043,Undirected,16603,,,1,1
21351,21539,Undirected,16604,,,2,2
20751,30079,Undirected,16605,,,1,1
10094,20683,Undirected,16606,,,55,55
10090,21238,Undirected,16607,,,1,1
10349,20042,Undirected,16608,,,3,3
20157,21270,Undirected,16609,,,8,8
20315,21593,Undirected,16610,,,2,2
20387,20992,Undirected,16611,,,3,3
10595,20160,Undirected,16612,,,55,55
10534,11012,Undirected,16613,,,19,19
11273,21554,Undirected,16614,,,87,87
40080,60087,Undirected,16615,,,3,3
11286,21762,Undirected,16616,,,41,41
20801,21528,Undirected,16617,,,3,3
20341,20590,Undirected,16618,,,3,3
20315,20373,Undirected,16619,,,8,8
21671,30309,Undirected,16620,,,2,2
10688,20512,Undirected,16621,,,1,1
10554,20409,Undirected,16622,,,2,2
10982,20348,Undirected,16623,,,2,2
10704,40071,Undirected,16624,,,1,1
20482,40025,Undirected,16625,,,3,3
10057,11059,Undirected,16626,,,1,1
10107,20306,Undirected,16627,,,2,2
21083,40071,Undirected,16628,,,7,7
10979,30225,Undirected,16629,,,3,3
20056,20387,Undirected,16630,,,4,4
10107,30393,Undirected,16631,,,1,1
10441,21641,Undirected,16632,,,1,1
40055,40185,Undirected,16633,,,1,1
20354,21191,Undirected,16634,,,1,1
20147,21410,Undirected,16635,,,27,27
11275,90011,Undirected,16636,,,64,64
10966,21300,Undirected,16637,,,1,1
30243,30329,Undirected,16638,,,1,1
21611,21693,Undirected,16639,,,2,2
11173,40052,Undirected,16640,,,2,2
10592,21391,Undirected,16641,,,6,6
21608,40017,Undirected,16642,,,1,1
20085,21477,Undirected,16643,,,20,20
10831,30399,Undirected,16644,,,1,1
20045,21725,Undirected,16645,,,203,203
20640,21567,Undirected,16646,,,1,1
10803,11219,Undirected,16647,,,2,2
10233,10807,Undirected,16648,,,1,1
10527,10576,Undirected,16649,,,4,4
10387,40052,Undirected,16650,,,1,1
11361,21676,Undirected,16651,,,4,4
20906,21611,Undirected,16652,,,2,2
11411,21083,Undirected,16653,,,4,4
21786,40012,Undirected,16654,,,38,38
20686,30229,Undirected,16655,,,1,1
10221,20582,Undirected,16656,,,1,1
21359,21727,Undirected,16657,,,57,57
11411,21088,Undirected,16658,,,1,1
21573,40004,Undirected,16659,,,1,1
20547,21509,Undirected,16660,,,1,1
10621,11372,Undirected,16661,,,1,1
20349,30249,Undirected,16662,,,1,1
20824,40134,Undirected,16663,,,2,2
10517,10708,Undirected,16664,,,1,1
10668,11248,Undirected,16665,,,2,2
20214,21431,Undirected,16666,,,1,1
20112,40112,Undirected,16667,,,4,4
10282,20341,Undirected,16668,,,3,3
10437,21606,Undirected,16669,,,61,61
21159,21729,Undirected,16670,,,7,7
20194,30121,Undirected,16671,,,38,38
10936,40060,Undirected,16672,,,1,1
10152,20314,Undirected,16673,,,6,6
20906,40060,Undirected,16674,,,1,1
10409,21080,Undirected,16675,,,3,3
20183,21445,Undirected,16676,,,9,9
21089,30044,Undirected,16677,,,1,1
21351,60014,Undirected,16678,,,33,33
10488,40035,Undirected,16679,,,19,19
20408,50074,Undirected,16680,,,1,1
10738,40038,Undirected,16681,,,1,1
10185,40061,Undirected,16682,,,5,5
20685,21727,Undirected,16683,,,1,1
10738,40034,Undirected,16684,,,52,52
20398,60087,Undirected,16685,,,1,1
10724,20689,Undirected,16686,,,1,1
10290,10972,Undirected,16687,,,4,4
10348,21618,Undirected,16688,,,6,6
30258,30377,Undirected,16689,,,1,1
10391,20548,Undirected,16690,,,2,2
21356,50060,Undirected,16691,,,141,141
10004,10280,Undirected,16692,,,4,4
11142,20551,Undirected,16693,,,2,2
11061,21778,Undirected,16694,,,79,79
11248,40171,Undirected,16695,,,2,2
11119,21710,Undirected,16696,,,1,1
20025,30131,Undirected,16697,,,3,3
10603,11312,Undirected,16698,,,103,103
11322,21778,Undirected,16699,,,683,683
21163,30249,Undirected,16700,,,4,4
20312,40073,Undirected,16701,,,12,12
20312,40071,Undirected,16702,,,10,10
20825,20855,Undirected,16703,,,2,2
10067,20985,Undirected,16704,,,1,1
10670,21659,Undirected,16705,,,1,1
10694,20862,Undirected,16706,,,2,2
20503,21218,Undirected,16707,,,16,16
10838,40032,Undirected,16708,,,2,2
10048,11067,Undirected,16709,,,2,2
11299,40010,Undirected,16710,,,1,1
20372,20891,Undirected,16711,,,1,1
10266,20808,Undirected,16712,,,1,1
20315,50077,Undirected,16713,,,1,1
20032,21590,Undirected,16714,,,1,1
20068,21108,Undirected,16715,,,13,13
20160,20620,Undirected,16716,,,20,20
10414,11135,Undirected,16717,,,3,3
11279,20095,Undirected,16718,,,6,6
20236,20785,Undirected,16719,,,1,1
20051,21628,Undirected,16720,,,2,2
21472,30022,Undirected,16721,,,9,9
21229,40183,Undirected,16722,,,1,1
21416,40171,Undirected,16723,,,1,1
10391,21351,Undirected,16724,,,3,3
10050,10190,Undirected,16725,,,2,2
10519,40055,Undirected,16726,,,1,1
10786,20583,Undirected,16727,,,74,74
30244,40036,Undirected,16728,,,2,2
10546,10738,Undirected,16729,,,1,1
30244,40034,Undirected,16730,,,127,127
11067,21706,Undirected,16731,,,1,1
20863,21155,Undirected,16732,,,1,1
20971,30299,Undirected,16733,,,2,2
10282,21560,Undirected,16734,,,1,1
11204,20928,Undirected,16735,,,5,5
21245,50077,Undirected,16736,,,5,5
10392,20324,Undirected,16737,,,1,1
10796,30094,Undirected,16738,,,1,1
21813,40167,Undirected,16739,,,167,167
21840,40095,Undirected,16740,,,1,1
20502,40164,Undirected,16741,,,1,1
10795,40016,Undirected,16742,,,1,1
11322,20570,Undirected,16743,,,465,465
11322,20571,Undirected,16744,,,41,41
